publisher,product_url,Title,id_animeclick,N_volume,product_id,n_reprint,price_full,price_actual,release_date,release_date_giorno,release_date_mese,release_date_anno,author,Disegnatore,pages,size,contents,binding,colors,isbn,genere,description,img_file,details_volume
Panini Comics,https://comics.panini.it/store/pub_ita_it/mhill001isbn-it-hillbilly-hillbilly-n-1.html,Hillbilly,hillbilly,1,mhill001isbn,,17.0,16.15,12/03/2020,12,3,2020,Eric Powell,,136,17x26,Hillbilly #1/4,Cartonato,Colori,9788891273949.0,azione,"Eric Powell , il creatore di The Goon e vincitore di quattro premi Eisner, ci racconta la storia di Rondel che vaga per le alture degli Appalachi vedendosela con mostri magici, streghe e demoni. Un po’ western, un po’ fantasy, del tutto imperdibile!",img_mhill001isbn,
Panini Comics,https://comics.panini.it/store/pub_ita_it/mfasl001isbn-it-paris-fashion-slam-paris-fashion-slam.html,Paris Fashion Slam,parisfashionslam,,mfasl001isbn,,14.0,13.3,27/02/2020,27,2,2020,"Marco Russo, Alessio Fioriniello",,128,17x26,Paris Fashion Slam,Cartonato,Colori,9788891273130.0,azione,"Pronti per una lotta tra donne bellissime e griffatissime? Lo showbiz che ruota intorno al mondo della moda ci ha abituati a modelle sempre più esili. Ma questo non significa che siano indifese… Quando scoppia una rissa in passerella, la top model di turno si rende conto che questo è il vero segreto del successo: dare al pubblico uno show all’ultimo sangue. E per le taglie comode non c’è più spazio, almeno finché non arriva la giovane Alexis… Una nuova autoproduzione Panini dei giovani e talentuosissimi Marco Russo e Alessio Fioriniello, per tanta azione e un divertimento ""di menare""!",img_mfasl001isbn,
Panini Comics,https://comics.panini.it/store/pub_ita_it/mmilw014isbnr-it-millarworld-millarworld-collection-magic-order-prima-ri.html,Magic Order,magicorder,,mmilw014isbnr,1.0,22.0,20.9,27/02/2020,27,2,2020,"Mark Millar, Olivier Coipel",,176,17x26,Magic Order #1/6,Cartonato,Colori,9788891276896.0,azione,"Viviamo in un mondo in cui non abbiamo mai visto un mostro, e la ragione per cui dormiamo tranquillamente nei nostri letti è che cinque famiglie di maghi ci proteggono. Ora però un nemico implacabile li sta facendo fuori a uno a uno... Il primo fumetto di Netflix, dalla genialità di Mark Millar e Olivier Coipel!",img_mmilw014isbnr,
Panini Comics,https://comics.panini.it/store/pub_ita_it/mbode004isbnr-it-the-boys-deluxe-the-boys-deluxe-volume-4-prima-ristampa.html,The Boys Deluxe,theboysdeluxe,4,mbode004isbnr,1.0,35.0,33.25,27/02/2020,27,2,2020,"Garth Ennis, John McCrea, Darick Robertson, Russ Braun",,368,17x26,"The Boys #39/47, Highland Laddie #1/6",Cartonato,Colori,9788891276872.0,azione,"Giusto in tempo per la serie TV degli Amazon Studios sviluppata da Eric Kripke, Evan Goldberg e Seth Rogen, arriva il quarto volume della versione deluxe definitiva della più irriverente saga “super eroistica” mai scritta! Piccolo Hughie si infiltra nell’ingenuo supergruppo dei Superduper, il Patriota protagonista di una convention cristiana a New York e in più Hughie torna a casa in Scozia e ne scopriremo di più sul suo passato.",img_mbode004isbnr,
Panini Comics,https://comics.panini.it/store/pub_ita_it/mbode005isbnr-it-the-boys-deluxe-the-boys-deluxe-volume-5-prima-ristampa.html,The Boys Deluxe,theboysdeluxe,5,mbode005isbnr,1.0,35.0,33.25,27/02/2020,27,2,2020,"Garth Ennis, John McCrea, Darick Robertson, Russell Braun",,436,17x26,"The Boys #48/59, Butcher, Baker, Candlestick Maker #1/6",Cartonato,Colori,9788891276889.0,azione,"Un tuffo nel passato di Butcher da Londra alla guerra nelle Falkland, nel primo incontro fra i Boys e i loro avversari e nell’indagine di Hughie sulla prima azione dei super nella Seconda Guerra Mondiale. Il penultimo volume dello scorrettissimo fumetto che è diventato una serie TV su Amazon Studios.",img_mbode005isbnr,
Panini Comics,https://comics.panini.it/store/pub_ita_it/mdamu006isbnb-it-david-murphy-911-second-season-david-murphy-911-make-amer.html,David Murphy 911 – Make America Great Again,davidmurphy911makeamericagreatagain,6,mdamu006isbnb,,3.0,2.85,20/02/2020,20,2,2020,"Roberto Recchioni, Pierluigi Minotti, AA.VV.",,24,17x26,David Murphy 911 – Make America Great Again #6,Spillato,Colori,,azione,"David Murphy prosegue la sua folle cavalcata sul suo destriero di metallo e il nuovo arco narrativo volge al termine. Il nostro “eroe suo malgrado” riuscirà a seminare tutti i nemici che si è procurato durante la sua corsa forsennata attraverso gli States? Sarà in grado di ricucire le ferite del passato? Per scoprirlo non resta che seguirlo in questo doppio, appassionante finale di stagione firmato da Roberto “Rrobe” Recchioni.",img_mdamu006isbnb,Cover B
Panini Comics,https://comics.panini.it/store/pub_ita_it/mdamu006isbna-it-david-murphy-911-second-season-david-murphy-911-make-amer.html,David Murphy 911 – Make America Great Again,davidmurphy911makeamericagreatagain,6,mdamu006isbna,,3.0,2.85,20/02/2020,20,2,2020,"Roberto Recchioni, Pierluigi Minotti, AA.VV.",,24,17x26,David Murphy 911 – Make America Great Again #6,Spillato,Colori,,azione,"David Murphy prosegue la sua folle cavalcata sul suo destriero di metallo e il nuovo arco narrativo volge al termine. Il nostro “eroe suo malgrado” riuscirà a seminare tutti i nemici che si è procurato durante la sua corsa forsennata attraverso gli States? Sarà in grado di ricucire le ferite del passato? Per scoprirlo non resta che seguirlo in questo doppio, appassionante finale di stagione firmato da Roberto “Rrobe” Recchioni.",img_mdamu006isbna,Cover A
Panini Comics,https://comics.panini.it/store/pub_ita_it/mmane002isbn-it-man-eaters-100-panini-comics-hd-man-eaters-vol-2.html,Man-Eaters,maneaters,2,mmane002isbn,,17.0,16.15,20/02/2020,20,2,2020,"Kate Niemczyk, Chelsea Cain",,128,17x26,Man-Eaters (2018) #5/8,Cartonato,Colori,9788891274618.0,azione,"Come tutte le ragazze, anche la dodicenne Maude, entrata nella pubertà, è affetta da una malattia letale… per gli uomini! Una sua amica è scomparsa, suo padre poliziotto teme che sia un’assassina e sua madre nasconde un grande segreto. Ma tutto ciò non la fermerà certo nel suo intento di dare una spallata alla società patriarcale! Questo e altro nel secondo arco narrativo di una delle serie più attuali, originali e divertenti degli ultimi anni.",img_mmane002isbn,Crampi Adolescenziali
Panini Comics,https://comics.panini.it/store/pub_ita_it/mdamu006isbnv-it-david-murphy-911-second-season-david-murphy-911-second-n-6.html,David Murphy 911 – Make America Great Again,davidmurphy911makeamericagreatagain,6,mdamu006isbnv,,5.0,4.75,20/02/2020,20,2,2020,"Roberto Recchioni, Pierluigi Minotti, AA.VV.",,24,17x26,David Murphy 911 – Make America Great Again #6,Spillato,Colori,9788891271273.0,azione,"David Murphy prosegue la sua folle cavalcata sul suo destriero di metallo e il nuovo arco narrativo volge al termine. Il nostro “eroe suo malgrado” riuscirà a seminare tutti i nemici che si è procurato durante la sua corsa forsennata attraverso gli States? Sarà in grado di ricucire le ferite del passato? Per scoprirlo non resta che seguirlo in questo doppio, appassionante finale di stagione firmato da Roberto “Rrobe” Recchioni.",img_mdamu006isbnv,Variant di Roberto Recchioni
Panini Comics,https://comics.panini.it/store/pub_ita_it/mmilw017isbn-it-millarworld-millarworld-collection-n-17-sharkey-millar-b.html,Sharkey il Cacciatore di Taglie,sharkeyilcacciatoreditaglie,,mmilw017isbn,,20.0,19.0,13/02/2020,13,2,2020,"Mark Millar, Simone Bianchi",,168,17x26,Sharkey The Bounty Hunter #1/6,Cartonato,Colori,9788891273086.0,azione,"Dal genio di Mark Millar una nuova storia di fantascienza al fulmicotone firmata dalla superstar italiana Simone Bianchi! Sharkey è un cacciatore di taglie operaio che si mantiene dando la caccia ai criminali in giro per la galassia a bordo del suo furgoncino dei gelati convertito. La sua spalla è un ragazzino di dieci anni e insieme sono alla ricerca della più grossa taglia della loro carriera, quella che potrebbe cambiar loro la vita. Ma le cose stanno per mettersi molto male!",img_mmilw017isbn,
